Materials Id,Formula,Spacegroup,Formation Energy (eV),E Above Hull (eV),Band Gap (eV),Has Bandstructure,Volume,Nsites,Theoretical,Count,Density (gm/cc),Crystal System,Polycrystalline Dielectric Constant
mp-989635,CaMoN3,C2/m,-0.808,0,0.906,TRUE,143.824,10,TRUE,,4.111,monoclinic," 10.153964666666665,"
mp-1029863,K15Re7N19,P1,-0.457,0,0.191,TRUE,1628.01,82,TRUE,,4.398,triclinic," 13.481802666666667,"
mp-3167,Hg2GeSe4,I4,-0.234,0,0.628,TRUE,198.582,7,FALSE,,6.603,tetragonal," 10.698100333333334,"
mp-5710,Ag3Te2Au,I4132,-0.068,0,0.196,TRUE,586.857,24,FALSE,,8.78,cubic," 23.511000000000042,"
mp-1821,WSe2,P63/mmc,-0.558,0,1.511,TRUE,144.457,6,FALSE,,7.857,hexagonal," 10.132666666667012,"
mp-14501,Ba(As3Pt2)2,C2/c,-0.663,0,0.33,TRUE,456.374,22,FALSE,,9.949,monoclinic," 25.16033333333479,"
mp-867169,Sr2SnHg,Fm3m,-0.654,0,0.36,TRUE,132.939,4,TRUE,,6.177,cubic," 69.21734400000004,"
mp-11152,SiSbPt,Pbca,-0.487,0,0.174,TRUE,477.157,24,FALSE,,9.603,orthorhombic," 32.845666666666666,"
mp-938,GeTe,R3m,-0.095,0,0.822,TRUE,56.265,2,FALSE,,5.91,trigonal," 37.75363866666665,"
mp-9571,Ca(ZnAs)2,P3m1,-0.662,0,0.391,TRUE,107.382,5,FALSE,,4.96,trigonal," 14.399996333333343,"
mp-1103213,SbTeOs,P21/c,-0.085,0,0.981,TRUE,273.734,12,FALSE,,10.667,monoclinic," 19.647299,"
mp-12855,Cu2HgGeSe4,I42m,-0.244,0,0.122,TRUE,192.483,8,FALSE,,6.178,tetragonal," 24.000145666666665,"
mp-7421,KZnAs,P63/mmc,-0.476,0,0.274,TRUE,164.528,6,FALSE,,3.622,hexagonal," 34.678117666666644,"
mp-1078366,Bi2S2O,P4/nmm,-1.07,0,1.166,TRUE,225.308,10,FALSE,,7.342,tetragonal," 14.484660999999994,"
